id;code;name;brand;color;default_price
1;Generic Steel Tuna;website calculating;cross-platform support;silver;76190
2;wireless Chilean Peso Unidades de fomento;reboot;Dynamic magenta Track;orchid;28913
3;THX;Division;Steel;plum;66812
4;networks infomediaries;partnerships throughput;Union transmitting;black;55080
5;initiative green;Malagasy Ariary Gloves;Drive neutral;green;4184
6;Business-focused;Computer Oklahoma Identity;throughput;blue;46269
7;mobile distributed Dynamic;Sports Human New Mexico;yellow Awesome Wooden Shirt intangible;black;47574
8;Crossroad invoice;Liaison;Keyboard;turquoise;88935
9;Ergonomic Concrete Ball SMS;Gorgeous Rubber Cheese quantifying;cross-platform;silver;78011
10;online Forward;open-source;Computer efficient Sleek Soft Sausages;blue;44109
